horizon,spearman_rho,p_val
5,-0.010213564425520703,0.09194311441426908
10,-0.01575170518991139,0.009346282481351846
20,-0.029273308854748013,1.3585029164208945e-06
50,-0.030935613889806354,3.299951253340488e-07
100,-0.03566799644823036,3.934344570223294e-09
200,-0.06564998847704197,2.137724654538526e-27
5,-0.005154528218488306,0.3950412611405555
10,-0.011273271919960763,0.06286203662936439
20,-0.02132816231637954,0.00043223162657694917
50,-0.043347270120893296,8.322973712115357e-13
100,-0.06401941249765937,3.927325455483152e-26
200,-0.09005579088225675,3.8505136861557053e-50
5,0.02694962941706589,1.6451455787342746e-05
10,0.037315288805567004,2.4254701112570446e-09
20,0.05130567843590433,2.28886819617996e-16
50,0.0816258278298835,4.980940234972687e-39
100,0.12402280764947815,4.056149753814751e-88
200,0.16410913381927564,1.0585872911525171e-153
