horizon,kw_stat,p_val,p_perm,p_val_fdr
5,4.405822057787351,0.1104810761895323,,0.1104810761895323
10,8.119198496238141,0.01725593307750007,,0.020707119693000084
20,26.96947374094925,1.3920447195220864e-06,0.0,2.0880670792831297e-06
50,44.296947603155644,2.404584511549896e-10,,4.809169023099792e-10
100,64.76714737537553,8.629639291899519e-15,0.0,2.588891787569856e-14
200,228.66740622983662,2.215662674908883e-50,,1.3293976049453299e-49
5,12.205575889993531,0.0022366234360527777,,0.0022366234360527777
10,18.96664442640733,7.611066082652114e-05,,9.133279299182536e-05
20,29.011242263024428,5.015206110866864e-07,0.0,7.522809166300297e-07
50,60.59263518321839,6.957872207607134e-14,,2.0873616622821402e-13
100,50.14910820642827,1.2890195874877404e-11,0.0,2.5780391749754808e-11
200,108.3331406974614,2.9905935611218945e-24,,1.7943561366731367e-23
5,80.04764040454414,1.70181301838245e-16,,1.70181301838245e-16
10,112.5976109473974,2.0318189813899735e-23,,2.438182777667968e-23
20,162.56105649750555,4.126788072328781e-34,0.0,6.190182108493172e-34
50,375.6853800066607,4.978017784960037e-80,,9.956035569920073e-80
100,720.901515549503,1.0381833036464768e-154,0.0,3.114549910939431e-154
200,1229.6409819982734,5.974582104097959e-265,,3.5847492624587754e-264
