symbol,zone,freq,mean_ret_5,hit_rate_5,vol_5,mean_ret_10,hit_rate_10,vol_10,mean_ret_20,hit_rate_20,vol_20,mean_ret_50,hit_rate_50,vol_50,mean_ret_100,hit_rate_100,vol_100,mean_ret_200,hit_rate_200,vol_200
WIN$,1,0.0,,,,,,,,,,,,,,,,,,
WIN$,2,0.0,,,,,,,,,,,,,,,,,,
WIN$,3,0.33416587085873795,1.8871538554664975e-05,0.5006594856012311,0.0018301938884255644,2.190140897996286e-05,0.501428885469334,0.0025876211661828913,4.735248631852469e-05,0.508243570015388,0.0037286393292864607,7.767101714585957e-05,0.49648274346010113,0.00605736403512122,0.00033928903442160413,0.4939547153220488,0.008524323992355375,0.001184358002046235,0.5010991426687184,0.011591875865828416
WIN$,4,0.4563652391096746,-7.76134658603394e-05,0.4882897384305835,0.001551265841074775,-0.00015449956473014755,0.48780684104627764,0.0021909936502767405,-0.0003476602699730769,0.48,0.00310493527567402,-0.0009364258588505319,0.4536016096579477,0.004986332869664227,-0.0017866831993567746,0.42961770623742457,0.007155724239576854,-0.004018240313604491,0.415533199195171,0.010497700288572871
WIN$,5,0.20946889003158745,-0.00011397690688067985,0.4925477818691917,0.0013129450702664169,-0.00020667030833575363,0.48711204629142557,0.001850971696729381,-0.0003349932874343479,0.49149570401543047,0.00260559357326115,-0.0006131795784332994,0.5006137120813607,0.004103169686366323,-0.0018082915995166614,0.46151148518323687,0.00580646625168064,-0.0034099467529146257,0.37716991057338245,0.008075123034022906
WIN$,6,0.0,,,,,,,,,,,,,,,,,,
WIN$,7,0.0,,,,,,,,,,,,,,,,,,
WDO$,1,0.0,,,,,,,,,,,,,,,,,,
WDO$,2,0.00014690759512266783,0.0054731135974487866,1.0,0.0021963572535793423,0.0111597021186563,1.0,0.003599680479590045,0.01282740839660712,1.0,0.005186528333344858,0.02035027423018404,1.0,0.005072876535502238,0.030914119254663808,1.0,0.008507576574293838,0.014388038697055738,1.0,0.008225173760454008
WDO$,3,0.3101219333039518,-1.971968919933701e-05,0.4804594978683089,0.0010783193252140231,-2.926119045410696e-05,0.4798673614400758,0.0015353883235147555,-1.5055433550440432e-05,0.47844623401231645,0.0022368059975439343,3.0197679136540684e-05,0.47122216958787305,0.0036802281124008107,0.00026052796311575976,0.45843202273803885,0.005383025356633307,0.0007007519708328687,0.4707484604452866,0.00801663632740412
WDO$,4,0.5532172763331864,2.0713034858683888e-05,0.49458939122352785,0.0011397683289475302,1.3260422235088058e-05,0.4991037641904003,0.0016102207812921684,-2.9444035967777313e-06,0.4949213304122685,0.0022977964776590126,-7.090767846033138e-05,0.49837349797517094,0.003679918462172248,-0.00033671063928281337,0.48649007501825664,0.005239689788741757,-0.0007322898023629715,0.5060744871539534,0.007374206812663532
WDO$,5,0.1365138827677391,-0.00022124795820054435,0.480225988700565,0.0011648061337516306,-0.0003494120143339402,0.4772666128598332,0.0016745066659821536,-0.0006863271244237973,0.4700026903416734,0.0024135445243196854,-0.0016363478199203489,0.4261501210653753,0.00396942598382087,-0.0028029022097555635,0.4474038202851762,0.005807058346092943,-0.005374252241706605,0.44390637610976597,0.00824337300662557
WDO$,6,0.0,,,,,,,,,,,,,,,,,,
WDO$,7,0.0,,,,,,,,,,,,,,,,,,
DI1$,1,0.0,,,,,,,,,,,,,,,,,,
DI1$,2,0.0,,,,,,,,,,,,,,,,,,
DI1$,3,0.2960078277886497,-5.136514392452515e-05,0.4395081316937723,0.0009997510527350797,-0.00010179080450750436,0.4603993124421526,0.0014023229003437853,-0.00018942344513618806,0.46277932037551234,0.0019753397968648233,-0.0003852762859607439,0.47560491868306226,0.0031189186214745958,-0.001029080816632404,0.470316012164485,0.00420043846329635,-0.0025597875090388324,0.4105513685045617,0.005555026928836925
DI1$,4,0.22105675146771037,-7.154294508329827e-05,0.44776912181303113,0.0011937664933285377,-0.00011258990408680865,0.45662181303116145,0.0016929551057764721,-0.00019233485163441767,0.4580382436260623,0.002451454633759117,-0.00023935562353183778,0.4603399433427762,0.004014904297350108,-3.14544748865271e-05,0.4737960339943343,0.006009975490923922,0.0015274741057008962,0.4838881019830028,0.009154995066020901
DI1$,5,0.35424657534246573,0.00023264521630564998,0.46569439840901555,0.0012528451011297112,0.00044777958250284976,0.4893381946746216,0.0018400750802655393,0.0008566468498303688,0.5139763562037344,0.002708762198015876,0.0019506238853392165,0.53463705667882,0.004649142753123297,0.004483583446351939,0.581703679151475,0.007079139186580947,0.010142592285193366,0.6263396309800022,0.01078360209405997
DI1$,6,0.12598825831702545,0.0007198153629599618,0.48524386455420937,0.0015917515009088656,0.0013255855446046285,0.5228331780055918,0.0024209690063906612,0.002420261687491233,0.5594905250077664,0.0036702056994552764,0.005937202163580461,0.6029822926374651,0.006426377317039684,0.010060393028398578,0.5809257533395464,0.009544800622570194,0.016238416383377474,0.5256290773532153,0.013435247235747178
DI1$,7,0.002700587084148728,-0.004865657959745031,0.3188405797101449,0.006510817710622987,-0.00485689365680431,0.36231884057971014,0.008484216114453302,0.0019790811866221302,0.5217391304347826,0.011758639487425778,0.015068608797870442,0.6666666666666666,0.013663687936466471,0.04453040697443977,0.8840579710144928,0.02257579311430642,0.06837049094914868,0.8985507246376812,0.031099062812928343
