Ativo,Ano,Regime,Exp_Ret%,Vol,WR%,PF,Ratio,Amostras
WIN$,2021,BULL,-0.07819567695767325,0.8550065151850978,47.281921618204805,0.7826712210238674,-0.09145623510165729,2373
WIN$,2021,BEAR,0.030873688081657615,1.0544736770904273,49.851871801777534,1.0779323295169643,0.02927876600729147,3713
WIN$,2022,BULL,0.021543218625358275,0.8808023662530824,54.0327868852459,1.0661743308440503,0.024458629343315816,4575
WIN$,2022,BEAR,0.04732490390772387,1.172010231696636,52.455795677799614,1.1119610940928364,0.04037925829268205,4581
WIN$,2023,BULL,0.0003630118619755211,0.7531444030136574,50.919732441471574,1.0013087110829242,0.00048199503314498283,4784
WIN$,2023,BEAR,-0.05892859263016496,0.8210351995350338,48.99953466728711,0.831974535042436,-0.07177352760486237,4298
WIN$,2024,BULL,-0.06071898871304623,0.5843557635304852,48.29652996845426,0.7612265823241925,-0.10390757206242736,3170
WIN$,2024,BEAR,0.030967653647609124,0.5692358106107254,51.51133501259446,1.1520629544840129,0.05440215287928248,6352
WIN$,2025,BULL,0.0459496684096416,0.6602323499922036,51.759061833688705,1.2104409211977438,0.06959620857806799,5628
WIN$,2025,BEAR,-0.030776987634387614,0.7387840546293529,48.7405868605557,0.8920001749555256,-0.041658976530252016,3851
WIN$,2026,BULL,0.12265768741418553,0.8913166286388614,53.73345935727788,1.4546725027767842,0.13761404571109964,2116
WIN$,2026,BEAR,0.026317668236677798,1.048563159267517,52.59179265658748,1.0685510215728642,0.025098791597793154,926
WDO$,2021,BULL,-0.016143050329371248,0.682584169406744,52.40693196405648,0.9412966196794899,-0.02364990433304627,3116
WDO$,2021,BEAR,-0.0239854900556385,0.659477284783467,50.90970350404312,0.9093068829923047,-0.03637045668243668,2968
WDO$,2022,BULL,-0.009518231639737454,0.8531325297327569,48.59481582537517,0.970824309265908,-0.01115680307204114,3665
WDO$,2022,BEAR,0.03982717040688246,0.7718940842407188,55.007283321194464,1.1446892528483055,0.05159667779351123,5492
WDO$,2023,BULL,-0.0404642370389129,0.5680878237209029,47.66943094080641,0.8319299947480933,-0.07122884046809604,3497
WDO$,2023,BEAR,0.02494673394762291,0.5290895426249416,52.327246688148946,1.1329338601676482,0.04715030612154193,5586
WDO$,2024,BULL,0.026089529097957,0.5512303779809148,52.134292565947234,1.1373267274974563,0.047329628577782536,6255
WDO$,2024,BEAR,-0.07633434767437586,0.4932752281720072,44.424019607843135,0.6510199077319132,-0.15475001208251984,3264
WDO$,2025,BULL,-0.0786924263259345,0.6156447025239704,43.36099585062241,0.6932835750334689,-0.1278211700279341,2892
WDO$,2025,BEAR,0.027437486428338556,0.45720084351045437,53.35962384347035,1.1819470912770436,0.060011889211878236,6593
WDO$,2026,BULL,-0.23342701689032058,0.6547284640003492,33.69565217391305,0.4304692418133116,-0.35652492501635175,460
WDO$,2026,BEAR,0.049035934426708,0.47292052455939904,56.54531371030209,1.3334245243563063,0.10368747342633379,2582
DI1$,2021,BULL,0.241200315448513,1.218811633696189,54.296160877513714,1.8591432168001563,0.19789794303090696,3829
DI1$,2021,BEAR,-0.21612839661618805,0.9080911018524309,41.36904761904761,0.5017901169652887,-0.23800298883812535,1680
DI1$,2022,BULL,0.07532541122752275,0.9041650738158059,51.54755205402364,1.2921758452182937,0.08330935724637212,5331
DI1$,2022,BEAR,-0.035984293028935,0.7645107647098609,47.82903663500678,0.8802412483541011,-0.04706839281134647,2948
DI1$,2023,BULL,-0.08265742586089979,0.6895894472677858,43.308702791461414,0.7364348423008811,-0.11986469060472302,2436
DI1$,2023,BEAR,0.045024615969133645,0.6108363363992149,51.806670784434836,1.218182587698676,0.07370978642304904,6476
DI1$,2024,BULL,0.09909016517071023,0.7278145347427873,54.28780131482834,1.4682332906182542,0.13614754900378784,6845
DI1$,2024,BEAR,-0.1238104728866664,0.5789220626943062,42.48275862068965,0.5473249170355619,-0.213863800762037,2175
DI1$,2025,BULL,-0.08684996645527654,0.5844999675553374,42.57425742574257,0.6694325571335714,-0.14858848781452766,3333
DI1$,2025,BEAR,-0.004322955421293836,0.5127664999577825,49.74340824632809,0.9769900697823108,-0.008430651014095316,5651
DI1$,2026,BULL,0.08407125318902078,0.9686135969852055,52.35646958011997,1.2535469562953765,0.08679545007823117,1167
DI1$,2026,BEAR,0.03821397301536158,0.45554216030253336,55.782710280373834,1.2650310355068395,0.08388679745052845,1712
